time,pressure_measure
"[0.0, -0.32638888888891415, -0.6530555555555111, -1.836388888888905, -2.8908333333333758, -3.8308333333334303, -4.668333333333294, -5.414999999999964, -6.080277777777837, -6.673333333333403]","[0.0, 5.307511643460202, 10.75638179057023, 31.808648296680076, 52.59446088607001, 73.09579030795021, 93.29736252145995, 113.1866842339, 132.75403462376016, 151.99236150689012]"
"[0.0, -2.5705555555555293, -5.141388888888741, -9.088055555555457, -11.776944444444325, -13.608888888888941, -14.85694444444448, -15.707222222222072, -16.286666666666633, -16.681111111111022]","[0.0, -13.182327500170231, -30.115423484540315, -68.61213801586018, -111.79614392885014, -158.30010838122007, -206.46905576652034, -254.65530893106006, -301.45495019193004, -345.8450292955704]"
"[0.0, -0.2847222222221717, -0.5697222222222535, -1.7530555555556475, -2.807499999999891, -3.7474999999999454, -4.585000000000036, -5.331666666666706, -5.9969444444443525, -6.589999999999918]","[0.0, 4.355639352439994, 8.828280399429786, 28.801664031059772, 48.86486444858019, 69.01699088944997, 89.25509011189979, 109.57417188553018, 129.96734812838986, 150.42595457996003]"
"[0.0, -13.586666666666815, -27.173333333333403, -54.06222222222232, -72.38138888888898, -84.86194444444459, -93.36500000000001, -99.15805555555562, -103.10472222222234, -105.7936111111112]","[0.0, -12.91437852531999, -27.786477746609307, -66.37731774813983, -105.78538063926953, -146.0373486049093, -186.7835944246799, -227.42573146540963, -267.3127815448597, -305.91852524550995]"
"[0.0, -0.04916666666667879, -0.09833333333335759, -0.6266666666665515, -1.0977777777777646, -1.5177777777778374, -1.8919444444443343, -2.225277777777819, -2.5225000000000364, -2.787499999999909]","[0.0, 2.3391883864701413, 4.701567985490328, 31.686142224480136, 58.608631440540194, 85.45554433922007, 112.2133250367001, 138.86834864992989, 165.40685102223006, 191.81493616637]"
"[0.0, -4.129166666666833, -8.258055555555757, -26.577222222222417, -39.05805555555571, -47.56083333333345, -53.35388888888906, -57.30083333333346, -59.989722222222326, -61.821666666666715]","[0.0, -3.465573609420062, -7.15262279774015, -27.567198988210293, -49.07421939036067, -73.10261952931069, -100.8416567614504, -132.99596506385024, -169.61359957539025, -210.0779428533906]"
"[0.0, -1.3872222222221353, -2.774444444444498, -5.74666666666667, -8.395555555555575, -10.756111111111068, -12.86027777777781, -14.735555555555493, -16.406944444444434, -17.89638888888885]","[0.0, 10.612161918089896, 21.777002320149677, 47.83841714204982, 74.02962496597002, 100.33648647493965, 126.74505474155967, 153.24156390519965, 179.81245181153963, 206.44433778566963]"
"[0.0, -1.0533333333332848, -2.106666666666797, -28.995555555555484, -47.314722222222144, -59.795277777777756, -68.2983333333334, -74.09138888888901, -78.0380555555555, -80.72694444444437]","[0.0, -1.072700292049376, -2.159902953299934, -36.438796408169765, -72.01443509344972, -108.58861814822922, -145.5764784005396, -182.35368394228954, -218.43767770925933, -253.54679052835945]"
"[0.0, -0.7080555555555748, -1.4163888888888323, -3.7769444444445526, -5.881111111111068, -7.756388888888978, -9.427777777777692, -10.917222222222335, -12.244722222222208, -13.428055555555602]","[0.0, 6.89810631868022, 14.029262438909882, 39.69806461900998, 65.49931130050982, 91.41786264042003, 117.43859081247001, 143.54643349520984, 169.72647210993, 195.96394618428985]"
"[0.0, -4.713333333333594, -9.426944444444871, -39.72138888888912, -70.0155555555557, -100.3100000000004, -130.60416666666697, -160.89861111111122, -191.19305555555593, -221.4872222222225]","[0.0, -0.9389674400299555, -1.8879162771299889, -8.247522680019756, -15.13576572203965, -22.697103476630218, -31.147167653420183, -40.82701762796023, -52.31863447047999, -66.72389905118962]"
"[0.0, -0.3180555555554747, -0.6363888888886322, -1.690833333333103, -2.6305555555554747, -3.4683333333332484, -4.214999999999691, -4.880277777777792, -5.473333333333358, -6.0016666666665515]","[0.0, 6.616263403519952, 13.444002861559966, 37.769273595580216, 62.0571510406503, 86.30016987793033, 110.49071204495021, 134.6209957395099, 158.68301237698006, 182.66852394191028]"
"[0.0, -13.117222222222154, -26.234722222222445, -56.5291666666667, -86.82333333333327, -113.71222222222241, -132.03138888888907, -144.51222222222214, -153.01499999999987, -158.8080555555557]","[0.0, -4.502388508140029, -9.309114720030266, -21.952973830009796, -37.986313173370036, -57.91601415483001, -78.63046942411984, -101.16706230719956, -126.59729307557973, -155.96213943875955]"
"[0.0, -0.5758333333333212, -1.1519444444443252, -3.256111111111295, -5.131388888888978, -6.802499999999782, -8.292222222222335, -9.619722222222208, -10.803055555555602, -11.857500000000073]","[0.0, 6.858921995480159, 13.92156284163002, 41.65760921983019, 69.41936815156032, 97.1967769035, 124.97998041749997, 152.75930360711027, 180.5251758345603, 208.26810470725013]"
"[0.0, -11.689444444444234, -23.378888888888923, -41.698055555555584, -54.17888888888865, -62.681944444444525, -68.47472222222223, -72.42166666666662, -75.1105555555555, -76.94249999999965]","[0.0, -10.91881979845948, -24.79689489348948, -57.509972475119866, -96.53020667133933, -142.4612459097698, -195.10288461825985, -253.47744720214996, -316.03397051660977, -380.95106676180967]"
"[0.0, -0.03194444444443434, -0.06388888888886868, -0.9016666666666424, -1.6483333333335395, -2.313611111111186, -2.9066666666667516, -3.4349999999999454, -3.906111111111386, -4.325833333333321]","[0.0, 0.968478770369984, 1.9409739228199214, 28.88879869172979, 55.818881349890034, 82.71912336924015, 109.57731302451975, 136.38114283590994, 163.11815703658976, 189.77576551308994]"
