  Elapsed time	Data
   (hr)	(psia)
  13.99166667 3103.8
  13.99583333 3111.300000000001
  14 3119.34
  14.00833333 3119.85
  14.0125 3111.4
  14.01666667 3102.94
  14.025 3102.92
  14.02916667 3109.210000000001
  14.03333333 3115.51
  14.04166667 3115.52
  14.04583333 3108.34
  14.05 3101.159999999999
  14.05833333 3101.17
  14.0625 3106.69
  14.06666667 3112.2
  14.075 3112.2
  14.07916667 3105.65
  14.08333333 3099.09
  14.09166667 3099.07
  14.09583333 3105.719999999999
  14.1 3112.4
  14.10833333 3112.42
  14.1125 3105.929999999999
  14.11666667 3099.43
  14.125 3099.420000000001
  14.12916667 3104.29
  14.13333333 3109.19
  14.14166667 3109.210000000001
  14.14583333 3105.71
  14.15 3102.19
  14.15833333 3102.17
  14.1625 3111.96
  14.16666667 3121.81
  14.175 3121.84
  14.17916667 3115.77
  14.18333333 3109.25
  14.19166667 3108.81
  14.19583333 3114.93
  14.2 3121.5
  14.20833333 3121.96
  14.2125 3113.91
  14.21666667 3105.26
  14.225 3104.67
  14.22916667 3109.43
  14.23333333 3114.52
  14.24166667 3114.97
  14.24583333 3109.13
  14.25 3102.87
  14.25833333 3102.43
  14.2625 3108.12
  14.26666667 3114.25
  14.275 3114.670000000001
  14.27916667 3111.69
  14.28333333 3108.500000000001
  14.29166667 3108.28
  14.29583333 3117.41
  14.3 3127.260000000001
  14.30833333 3127.98
  14.3125 3120.98
  14.31666667 3113.48
  14.325 3112.94
  14.32916667 3119.85
  14.33333333 3127.27
  14.35833333 3127.76
  14.3625 3119.06
  14.36666667 3110.34
  14.375 3110.33
  14.37916667 3117.06
  14.38333333 3123.8
  14.39166667 3123.84
  14.39583333 3118.89
  14.4 3113.91
  14.41666667 3116.56
  14.76666667 3118.89
  15.07916667 3121.51
  15.29583333 3124.34
  15.5125 3126.35
  15.85 3129.78
  15.86666667 3127.06
  15.93333333 3129.08
  15.98333333 3131.41
  16.18333333 3133.87
  16.2 3131.32
  16.21666667 3133.83
  16.36666667 3136.610000000001
  16.51666667 3134.52
  16.58333333 3136.96
  16.63333333 3140.08
  16.65 3137.42
  16.68333333 3140.31
  16.91666667 3143.010000000001
  16.98333333 3141.01
  17.01666667 3143.18
  17.16666667 3145.68
  17.25 3143.6
  17.3 3146.09
  17.45 3143.76
  17.5 3145.86
  17.64583333 3148.19
  17.66666667 3145.75
  17.68333333 3148.27
  17.75 3145.79
  17.76666667 3148.17
  18.03333333 3150.250000000001
  18.05 3147.08
  18.06666667 3149.4
  18.13333333 3151.5
  18.33333333 3153.75
  18.35 3151.46
  18.5 3154.62
  18.55 3152.18
  18.56666667 3155.76
  18.58333333 3152.79
  18.6 3154.8
  18.9625 3157.26
  19.1 3159.48
  19.11666667 3157.02
  19.19583333 3159.24
  19.21666667 3156.79
  19.24583333 3159.07
  19.48333333 3161.31
  19.81666667 3163.54
  20.23333333 3165.61
  20.33333333 3167.78
  20.35 3165.74
  20.43333333 3167.76
  20.71666667 3169.96
  20.81666667 3167.7
  20.89583333 3169.7
  21.08333333 3172
  21.1 3169.89
  21.12916667 3172.39
  21.21666667 3170.09
  21.23333333 3172.48
  21.25 3170.13
  21.26666667 3173.03
  21.43333333 3170.49
  21.44166667 3170.49
  21.44583333 3172.82
  21.45 3175.15
  21.48333333 3172.92
