          Elapsed time          Liquid rate
                 (hr)              (STB/D)
  0.4333844445354771 -3916.602730872432
  2.516717777849408 -3913.489042507541
  4.60005111125065 -3911.804386991071
  6.641717777936719 -3910.573562853972
  7.683384444506373 -3907.017652219614
  7.766717777849408 -5201.249122447724
  7.850051111279754 -5254.73547502342
  7.933384444622789 -5313.591676289259
  8.016717777878512 -5313.210531545396
  8.100051111221546 -5371.191920486663
  8.183384444564581 -5371.655652934263
  8.266717777907616 -5426.605768364781
  8.35005111125065 -5427.791364506888
  8.516717777936719 -5483.848877210506
  8.683384444622789 -5479.990743873943
  8.975051111192443 -5537.752774138344
  9.266717777849408 -5539.276845926696
  10.35005111122155 -5596.149121420571
  11.55838444456458 -5592.128528380064
  11.76671777787851 -5593.470163456187
  11.85005111122155 -6079.430400753403
  11.93338444456458 -6239.35601214634
  12.01671777790762 -6556.687968918154
  12.10005111125065 -6718.905124743908
  12.18338444450637 -6876.987412186468
  12.26671777784941 -7030.822198354517
  12.35005111127975 -7183.597592621321
  12.43338444462279 -7185.167195065856
  12.51671777787851 -7516.096509056412
  12.60005111122155 -7574.696730419241
  12.68338444456458 -11913.30017209379
  12.76671777790762 -6946.225973229562
  12.85005111125065 -6721.846210980023
  12.93338444450637 -11068.2047601442
  13.01671777784941 -6398.952643098346
  13.10005111127975 -10611.1642358475
  13.18338444462279 -6738.443109441958
  13.26671777787851 -10190.55065659606
  13.35005111122155 -8001.977875041658
  13.43338444456458 -12825.30900953849
  13.51671777790762 -6751.270194195161
  13.60005111125065 -10169.03494428813
  13.68338444450637 -17126.45887970408
  13.76671777784941 -8486.510983929755
  13.85005111127975 -13900.89092333211
  13.93338444462279 -6724.622057431954
  14.01671777787851 -11061.23476321117
  14.10005111122155 -9282.722689149101
  14.18338444456458 -6440.56995342831
  14.26671777790762 -8861.716255394489
  14.35005111125065 -8000.695743813255
  14.43338444450637 -7995.66806762827
  14.51671777784941 -8388.502791508779
  14.60005111127975 -8567.69687329107
  14.68338444462279 -8563.523346735539
  14.76671777787851 -8500.478516591267
  14.89171777784941 -8460.061296668138
  15.22505111122155 -8447.641923107021
  15.68338444456458 -8437.274516372057
  15.90761977483635 -8429.77452175182
  15.94928644146421 -8429.300355925159
  16.01671777784941 -8617.079935666136
  16.10005111127975 -8920.757384354456
  16.18338444462279 -9085.937151376584
  16.26671777787851 -9175.696921314284
  16.35005111122155 -9229.585275984275
  16.43338444456458 -9427.320583383389
  16.51671777790762 -9532.043723514149
  16.57046180605539 -9429.036771855997
  16.61212847268325 -9399.179519578136
  16.68338444450637 -9477.238586573301
  16.76671777784941 -9587.158744982746
  16.85005111127975 -9647.002636061308
  16.93338444462279 -9662.178554853053
  17.10005111122155 -9675.972491568584
  17.72505111116334 -9688.462962231406
  19.26671777787851 -9698.543008004703
  20.76671777787851 -9698.728240443674
  21.3917177778203 -9687.599879453423
  21.58137583595817 -9683.736904144927
  21.62304250267334 -9683.593407480828
  21.68338444456458 -9897.056605976435
  21.76671777790762 -10373.3173194989
  21.85005111125065 -10645.49092343458
  21.93338444450637 -10875.55742073978
  22.01671777784941 -11111.00608219269
  22.10005111127975 -11240.06762857419
  22.18338444462279 -11313.5495078482
  22.26671777787851 -11359.34602845134
  22.35005111122155 -11370.79012636734
  22.43338444456458 -11381.57459361605
  22.51671777790762 -11548.83373030709
  22.60005111125065 -11666.93767474912
  22.68338444450637 -11732.93610333114
  22.76671777784941 -11773.85612463107
  22.85005111127975 -11785.74371273224
  23.05838444459369 -11796.64037810879
  24.26671777784941 -11806.81763921419
  25.5167177778203 -11813.18109610548
  25.74470748231397 -11813.94764473263
  25.78637414902914 -11814.33558648311
  25.85005111127975 -12097.35675011951
  25.93338444462279 -12633.13095104527
  26.01671777787851 -12726.01733594893
  26.10005111122155 -13085.47724025234
  26.18338444456458 -13079.57422385325
  26.26671777790762 -13305.81841070612
  26.35005111125065 -13353.36240215649
  26.43338444450637 -13443.31138777749
  26.51671777784941 -13440.41049098595
  26.60005111127975 -13566.47303780038
  26.68338444462279 -13626.51519448122
  26.76671777787851 -13667.19447480183
  26.89171777784941 -13678.43983758347
  28.01671777784941 -13692.55972427567
  29.2667177778203 -13684.23131753953
  29.55838444456458 -13673.96801570182
  29.68338444462279 -13663.61046302744
  29.74770817573881 -13660.79430091281
  29.78937484236667 -13659.26295770491
  29.85005111122155 -13852.92387388108
  29.93338444456458 -14277.40434226523
  30.01671777790762 -14936.93506477988
  30.10005111125065 -15318.82705450621
  30.18338444450637 -15543.59428957753
  30.26671777784941 -15659.98685701338
  30.35005111127975 -15722.4912579719
  31.43338444456458 -15764.48569858693
  32.85005111113424 -15768.81044215359
  33.3917177778203 -15756.61629980931
  33.64171777784941 -15745.98133185653
  33.73435627418803 -15741.09417835122
  33.7760229409032 -15740.62131046445
  33.85005111125065 -16188.79088382955
  33.93338444450637 -16765.82625305771
  34.01671777784941 -17240.33536793355
  34.10005111127975 -17497.02481691583
  34.18338444462279 -17640.66019827376
  34.26671777787851 -17722.08090437942
  34.35005111122155 -17776.63894547209
  34.43338444456458 -17789.93761594306
  34.68338444459369 -17801.84750391303
  35.93338444456458 -17812.14710205397
  37.30838444450637 -17810.01020367705
  37.65182977030054 -17799.79763888392
  37.6934964369284 -17799.56235431555
  37.76671777784941 -18174.39918406688
  37.85005111127975 -18669.35600545956
  37.93338444462279 -18848.69491169579
  38.01671777787851 -19000.86418695917
  38.10005111122155 -19206.99279734402
  38.18338444456458 -19316.06990405519
  38.26671777790762 -19310.65635657065
  38.35005111125065 -19493.38971794955
  38.43338444450637 -19360.20954406451
  38.51671777784941 -19589.48414150252
  38.60005111127975 -19714.48981106574
  38.68338444462279 -19783.51632016511
  38.76671777787851 -19800.61808811381
  38.89171777784941 -19816.23566671335
  39.60005111122155 -19826.79692537095
  40.47505111119244 -19837.17073893088
  40.76671777784941 -19830.40469620624
  40.85005111127975 -19814.50694761575
  41.01671777796582 -19801.39731734647
  42.18338444459369 -19789.23635425118
  43.60005111125065 -19789.20193334694
  44.26671777790762 -19804.43917711189
  45.18338444459369 -19814.92390113209
  46.72505111130886 -19825.20879015603
  48.68338444456458 -19835.39148865551
  50.76671777787851 -19842.50526175252
  52.85005111127975 -19846.30106672315
  54.93338444459369 -19848.25311185781
  57.01671777790762 -19846.42077422918
  59.10005111122155 -19840.47377616533
  60.72505111119244 -19839.51406085702
  61.68338444450637 -19850.38700524655
  62.6417177778203 -19861.33664136235
  63.97505111113424 -19871.55069101704
  65.35005111116334 -19881.92944418423
  66.01671777790762 -19882.48654998068
  66.10005111125065 -19947.12224698294
  66.18338444450637 -20585.15167429497
  66.26671777784941 -19417.7233115455
  66.35005111127975 -19649.28120577863
  66.43338444462279 -19766.35827483111
  66.51671777787851 -19816.24333485683
  66.60005111122155 -19848.65331620078
  66.72505111127975 -19864.57338763678
  67.10005111127975 -19877.59267782766
  68.43338444459369 -19888.53213863865
  70.51671777790762 -19898.37788380891
  72.55838444459369 -19902.21681793943
  74.60005111127975 -19912.59728960456
  76.68338444459369 -19922.47863951359
  78.76671777790762 -19923.06560060109
  80.85005111122155 -19921.49481577394
  82.93338444453548 -19923.71750620376
  85.01671777784941 -19928.31737953216
  87.10005111125065 -19934.08655266828
